Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033059,1925,08,68.8,Y
IDCJAC0001,033059,1925,09,32.8,Y
IDCJAC0001,033059,1925,10,8.9,Y
IDCJAC0001,033059,1925,11,30.4,Y
IDCJAC0001,033059,1925,12,279.1,Y
IDCJAC0001,033059,1926,01,61.2,Y
IDCJAC0001,033059,1926,02,87.5,Y
IDCJAC0001,033059,1926,03,219.7,Y
IDCJAC0001,033059,1926,04,0.0,Y
IDCJAC0001,033059,1926,05,36.1,Y
IDCJAC0001,033059,1926,06,13.2,Y
IDCJAC0001,033059,1926,07,0.0,Y
IDCJAC0001,033059,1926,08,5.6,Y
IDCJAC0001,033059,1926,09,169.0,Y
IDCJAC0001,033059,1926,10,0.0,Y
IDCJAC0001,033059,1926,11,10.2,Y
IDCJAC0001,033059,1926,12,172.5,Y
IDCJAC0001,033059,1927,01,327.1,Y
IDCJAC0001,033059,1927,02,234.5,Y
IDCJAC0001,033059,1927,03,211.0,Y
IDCJAC0001,033059,1927,04,8.4,Y
IDCJAC0001,033059,1927,05,0.0,Y
IDCJAC0001,033059,1927,06,59.4,Y
IDCJAC0001,033059,1927,07,45.0,Y
IDCJAC0001,033059,1927,08,0.0,Y
IDCJAC0001,033059,1927,09,32.2,Y
IDCJAC0001,033059,1927,10,85.9,Y
IDCJAC0001,033059,1927,11,93.1,Y
IDCJAC0001,033059,1927,12,768.7,Y
IDCJAC0001,033059,1928,01,47.5,Y
IDCJAC0001,033059,1928,02,873.3,Y
IDCJAC0001,033059,1928,03,278.8,Y
IDCJAC0001,033059,1928,04,81.3,Y
IDCJAC0001,033059,1928,05,15.2,Y
IDCJAC0001,033059,1928,06,15.2,Y
IDCJAC0001,033059,1928,07,0.0,Y
IDCJAC0001,033059,1928,08,0.0,Y
IDCJAC0001,033059,1928,09,0.0,Y
IDCJAC0001,033059,1928,10,5.3,Y
IDCJAC0001,033059,1928,11,252.1,Y
IDCJAC0001,033059,1928,12,298.5,Y
IDCJAC0001,033059,1929,01,395.8,Y
IDCJAC0001,033059,1929,02,285.2,Y
IDCJAC0001,033059,1929,03,493.9,Y
IDCJAC0001,033059,1929,04,279.4,Y
IDCJAC0001,033059,1929,05,0.0,Y
IDCJAC0001,033059,1929,06,125.8,Y
IDCJAC0001,033059,1929,07,0.0,Y
IDCJAC0001,033059,1929,08,0.0,Y
IDCJAC0001,033059,1929,09,0.0,Y
IDCJAC0001,033059,1929,10,36.3,Y
IDCJAC0001,033059,1929,11,0.0,Y
IDCJAC0001,033059,1929,12,110.5,Y
IDCJAC0001,033059,1930,01,681.5,Y
IDCJAC0001,033059,1930,02,159.3,Y
IDCJAC0001,033059,1930,03,162.6,Y
IDCJAC0001,033059,1930,04,39.2,Y
IDCJAC0001,033059,1930,05,184.4,Y
IDCJAC0001,033059,1930,06,110.0,Y
IDCJAC0001,033059,1930,07,0.0,Y
IDCJAC0001,033059,1930,08,16.5,Y
IDCJAC0001,033059,1930,09,0.0,Y
IDCJAC0001,033059,1930,10,33.1,Y
IDCJAC0001,033059,1930,11,0.0,Y
IDCJAC0001,033059,1930,12,127.5,Y
IDCJAC0001,033059,1931,01,106.6,Y
