Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,044021,1963,06,17.9,Y
IDCJAC0001,044021,1963,07,0.0,Y
IDCJAC0001,044021,1963,08,30.6,Y
IDCJAC0001,044021,1963,09,23.7,Y
IDCJAC0001,044021,1963,10,32.2,Y
IDCJAC0001,044021,1963,11,138.4,Y
IDCJAC0001,044021,1963,12,41.9,Y
IDCJAC0001,044021,1964,01,34.4,Y
IDCJAC0001,044021,1964,02,30.7,Y
IDCJAC0001,044021,1964,03,10.2,Y
IDCJAC0001,044021,1964,04,13.5,Y
IDCJAC0001,044021,1964,05,43.0,Y
IDCJAC0001,044021,1964,06,2.3,Y
IDCJAC0001,044021,1964,07,6.7,Y
IDCJAC0001,044021,1964,08,6.9,Y
IDCJAC0001,044021,1964,09,61.5,Y
IDCJAC0001,044021,1964,10,30.5,Y
IDCJAC0001,044021,1964,11,12.3,Y
IDCJAC0001,044021,1964,12,25.8,Y
IDCJAC0001,044021,1965,01,8.7,Y
IDCJAC0001,044021,1965,02,3.3,Y
IDCJAC0001,044021,1965,03,0.3,Y
IDCJAC0001,044021,1965,04,26.7,Y
IDCJAC0001,044021,1965,05,13.7,Y
IDCJAC0001,044021,1965,06,2.8,Y
IDCJAC0001,044021,1965,07,12.0,Y
IDCJAC0001,044021,1965,08,19.8,Y
IDCJAC0001,044021,1965,09,36.3,Y
IDCJAC0001,044021,1965,10,21.0,Y
IDCJAC0001,044021,1965,11,5.6,Y
IDCJAC0001,044021,1965,12,116.1,Y
IDCJAC0001,044021,1966,01,121.8,Y
IDCJAC0001,044021,1966,02,59.7,Y
IDCJAC0001,044021,1966,03,4.0,Y
IDCJAC0001,044021,1966,04,0.0,Y
IDCJAC0001,044021,1966,05,3.3,Y
IDCJAC0001,044021,1966,06,9.9,Y
IDCJAC0001,044021,1966,07,3.3,Y
IDCJAC0001,044021,1966,08,91.5,Y
IDCJAC0001,044021,1966,09,27.2,Y
IDCJAC0001,044021,1966,10,14.6,Y
IDCJAC0001,044021,1966,11,19.6,Y
IDCJAC0001,044021,1966,12,14.4,Y
IDCJAC0001,044021,1967,01,22.4,Y
IDCJAC0001,044021,1967,02,66.2,Y
IDCJAC0001,044021,1967,03,100.5,Y
IDCJAC0001,044021,1967,04,0.0,Y
IDCJAC0001,044021,1967,05,20.1,Y
IDCJAC0001,044021,1967,06,55.2,Y
IDCJAC0001,044021,1967,07,0.8,Y
IDCJAC0001,044021,1967,08,7.7,Y
IDCJAC0001,044021,1967,09,0.0,Y
IDCJAC0001,044021,1967,10,27.6,Y
IDCJAC0001,044021,1967,11,1.8,Y
IDCJAC0001,044021,1967,12,89.8,Y
IDCJAC0001,044021,1968,01,58.0,Y
IDCJAC0001,044021,1968,02,46.8,Y
IDCJAC0001,044021,1968,03,69.0,Y
IDCJAC0001,044021,1968,04,72.3,Y
IDCJAC0001,044021,1968,05,54.4,Y
IDCJAC0001,044021,1968,06,17.2,Y
IDCJAC0001,044021,1968,07,20.5,Y
IDCJAC0001,044021,1968,08,19.5,Y
IDCJAC0001,044021,1968,09,3.6,Y
IDCJAC0001,044021,1968,10,0.0,Y
IDCJAC0001,044021,1968,11,5.9,Y
IDCJAC0001,044021,1968,12,38.9,Y
IDCJAC0001,044021,1969,01,63.1,Y
IDCJAC0001,044021,1969,02,8.9,Y
IDCJAC0001,044021,1969,03,96.7,Y
IDCJAC0001,044021,1969,04,0.0,Y
IDCJAC0001,044021,1969,05,26.7,Y
IDCJAC0001,044021,1969,06,9.7,Y
IDCJAC0001,044021,1969,07,10.6,Y
IDCJAC0001,044021,1969,08,9.8,Y
IDCJAC0001,044021,1969,09,9.5,Y
IDCJAC0001,044021,1969,10,22.3,Y
IDCJAC0001,044021,1969,11,40.4,Y
IDCJAC0001,044021,1969,12,56.2,Y
IDCJAC0001,044021,1970,01,48.5,Y
IDCJAC0001,044021,1970,02,27.7,Y
IDCJAC0001,044021,1970,03,71.4,Y
IDCJAC0001,044021,1970,04,19.6,Y
IDCJAC0001,044021,1970,05,0.5,Y
IDCJAC0001,044021,1970,06,1.0,Y
IDCJAC0001,044021,1970,07,0.0,Y
IDCJAC0001,044021,1970,08,5.6,Y
IDCJAC0001,044021,1970,09,105.4,Y
IDCJAC0001,044021,1970,10,10.7,Y
IDCJAC0001,044021,1970,11,17.9,Y
IDCJAC0001,044021,1970,12,50.8,Y
IDCJAC0001,044021,1971,01,67.3,Y
IDCJAC0001,044021,1971,02,73.2,Y
IDCJAC0001,044021,1971,03,68.4,Y
IDCJAC0001,044021,1971,04,11.5,Y
IDCJAC0001,044021,1971,05,2.5,Y
IDCJAC0001,044021,1971,06,2.3,Y
IDCJAC0001,044021,1971,07,32.8,Y
IDCJAC0001,044021,1971,08,41.1,Y
IDCJAC0001,044021,1971,09,63.2,Y
IDCJAC0001,044021,1971,10,19.8,Y
IDCJAC0001,044021,1971,11,48.1,Y
IDCJAC0001,044021,1971,12,195.8,Y
IDCJAC0001,044021,1972,01,17.2,Y
IDCJAC0001,044021,1972,02,9.2,Y
IDCJAC0001,044021,1972,03,15.5,Y
IDCJAC0001,044021,1972,04,0.8,Y
IDCJAC0001,044021,1972,05,65.0,Y
IDCJAC0001,044021,1972,06,0.0,Y
IDCJAC0001,044021,1972,07,0.0,Y
IDCJAC0001,044021,1972,08,7.9,Y
IDCJAC0001,044021,1972,09,15.2,Y
IDCJAC0001,044021,1972,10,0.8,Y
IDCJAC0001,044021,1972,11,95.6,Y
IDCJAC0001,044021,1972,12,24.2,Y
IDCJAC0001,044021,1973,01,30.7,Y
IDCJAC0001,044021,1973,02,294.7,Y
IDCJAC0001,044021,1973,03,11.7,Y
IDCJAC0001,044021,1973,04,49.6,Y
IDCJAC0001,044021,1973,05,1.5,Y
IDCJAC0001,044021,1973,06,4.4,Y
IDCJAC0001,044021,1973,07,80.3,Y
IDCJAC0001,044021,1973,08,39.4,Y
IDCJAC0001,044021,1973,09,38.7,Y
IDCJAC0001,044021,1973,10,75.5,Y
IDCJAC0001,044021,1973,11,137.7,Y
IDCJAC0001,044021,1973,12,58.3,Y
IDCJAC0001,044021,1974,01,210.1,Y
IDCJAC0001,044021,1974,02,13.2,Y
IDCJAC0001,044021,1974,03,19.4,Y
IDCJAC0001,044021,1974,04,49.0,Y
IDCJAC0001,044021,1974,05,7.2,Y
IDCJAC0001,044021,1974,06,18.2,Y
IDCJAC0001,044021,1974,07,0.0,Y
IDCJAC0001,044021,1974,08,53.0,Y
IDCJAC0001,044021,1974,09,17.9,Y
IDCJAC0001,044021,1974,10,53.0,Y
IDCJAC0001,044021,1974,11,30.2,Y
IDCJAC0001,044021,1974,12,17.1,Y
IDCJAC0001,044021,1975,01,55.3,Y
IDCJAC0001,044021,1975,02,59.6,Y
IDCJAC0001,044021,1975,03,76.6,Y
IDCJAC0001,044021,1975,04,2.6,Y
IDCJAC0001,044021,1975,05,0.0,Y
IDCJAC0001,044021,1975,06,31.6,Y
IDCJAC0001,044021,1975,07,17.8,Y
IDCJAC0001,044021,1975,08,47.4,Y
IDCJAC0001,044021,1975,09,10.4,Y
IDCJAC0001,044021,1975,10,40.0,Y
IDCJAC0001,044021,1975,11,3.8,Y
IDCJAC0001,044021,1975,12,159.8,Y
IDCJAC0001,044021,1976,01,142.5,Y
IDCJAC0001,044021,1976,02,169.2,Y
IDCJAC0001,044021,1976,03,52.7,Y
IDCJAC0001,044021,1976,04,0.0,Y
IDCJAC0001,044021,1976,05,54.8,Y
IDCJAC0001,044021,1976,06,0.8,Y
IDCJAC0001,044021,1976,07,24.4,Y
IDCJAC0001,044021,1976,08,1.6,Y
IDCJAC0001,044021,1976,09,14.8,Y
IDCJAC0001,044021,1976,10,17.6,Y
IDCJAC0001,044021,1976,11,19.4,Y
IDCJAC0001,044021,1976,12,48.4,Y
IDCJAC0001,044021,1977,01,74.2,Y
IDCJAC0001,044021,1977,02,87.0,Y
IDCJAC0001,044021,1977,03,160.6,Y
IDCJAC0001,044021,1977,04,26.6,Y
IDCJAC0001,044021,1977,05,69.2,Y
IDCJAC0001,044021,1977,06,25.2,Y
IDCJAC0001,044021,1977,07,1.2,Y
IDCJAC0001,044021,1977,08,1.4,Y
IDCJAC0001,044021,1977,09,3.4,Y
IDCJAC0001,044021,1977,10,10.8,Y
IDCJAC0001,044021,1977,11,9.4,Y
IDCJAC0001,044021,1977,12,15.2,Y
IDCJAC0001,044021,1978,01,73.6,Y
IDCJAC0001,044021,1978,02,24.2,Y
IDCJAC0001,044021,1978,03,11.2,Y
IDCJAC0001,044021,1978,04,6.8,Y
IDCJAC0001,044021,1978,05,86.8,Y
IDCJAC0001,044021,1978,06,44.2,Y
IDCJAC0001,044021,1978,07,88.6,Y
IDCJAC0001,044021,1978,08,72.8,Y
IDCJAC0001,044021,1978,09,64.8,Y
IDCJAC0001,044021,1978,10,21.4,Y
IDCJAC0001,044021,1978,11,33.4,Y
IDCJAC0001,044021,1978,12,22.2,Y
IDCJAC0001,044021,1979,01,14.0,Y
IDCJAC0001,044021,1979,02,82.4,Y
IDCJAC0001,044021,1979,03,35.0,Y
IDCJAC0001,044021,1979,04,17.6,Y
IDCJAC0001,044021,1979,05,31.6,Y
IDCJAC0001,044021,1979,06,20.8,Y
IDCJAC0001,044021,1979,07,1.2,Y
IDCJAC0001,044021,1979,08,3.6,Y
IDCJAC0001,044021,1979,09,30.4,Y
IDCJAC0001,044021,1979,10,20.4,Y
IDCJAC0001,044021,1979,11,9.2,Y
IDCJAC0001,044021,1979,12,6.4,Y
IDCJAC0001,044021,1980,01,43.4,Y
IDCJAC0001,044021,1980,02,40.8,Y
IDCJAC0001,044021,1980,03,38.8,Y
IDCJAC0001,044021,1980,04,8.6,Y
IDCJAC0001,044021,1980,05,24.8,Y
IDCJAC0001,044021,1980,06,2.6,Y
IDCJAC0001,044021,1980,07,44.6,Y
IDCJAC0001,044021,1980,08,16.8,Y
IDCJAC0001,044021,1980,09,0.0,Y
IDCJAC0001,044021,1980,10,124.2,Y
IDCJAC0001,044021,1980,11,17.8,Y
IDCJAC0001,044021,1980,12,56.8,Y
IDCJAC0001,044021,1981,01,33.6,Y
IDCJAC0001,044021,1981,02,32.2,Y
IDCJAC0001,044021,1981,03,34.2,Y
IDCJAC0001,044021,1981,04,24.4,Y
IDCJAC0001,044021,1981,05,103.2,Y
IDCJAC0001,044021,1981,06,66.0,Y
IDCJAC0001,044021,1981,07,42.8,Y
IDCJAC0001,044021,1981,08,1.0,Y
IDCJAC0001,044021,1981,09,1.0,Y
IDCJAC0001,044021,1981,10,43.0,Y
IDCJAC0001,044021,1981,11,36.0,Y
IDCJAC0001,044021,1981,12,9.8,Y
IDCJAC0001,044021,1982,01,65.0,Y
IDCJAC0001,044021,1982,02,0.8,Y
IDCJAC0001,044021,1982,03,116.4,Y
IDCJAC0001,044021,1982,04,6.4,Y
IDCJAC0001,044021,1982,05,13.0,Y
IDCJAC0001,044021,1982,06,0.2,Y
IDCJAC0001,044021,1982,07,1.0,Y
IDCJAC0001,044021,1982,08,0.0,Y
IDCJAC0001,044021,1982,09,7.8,Y
IDCJAC0001,044021,1982,10,8.8,Y
IDCJAC0001,044021,1982,11,0.6,Y
IDCJAC0001,044021,1982,12,25.4,Y
IDCJAC0001,044021,1983,01,42.4,Y
IDCJAC0001,044021,1983,02,44.0,Y
IDCJAC0001,044021,1983,03,60.2,Y
IDCJAC0001,044021,1983,04,154.0,Y
IDCJAC0001,044021,1983,05,188.4,Y
IDCJAC0001,044021,1983,06,28.6,Y
IDCJAC0001,044021,1983,07,7.2,Y
IDCJAC0001,044021,1983,08,28.4,Y
IDCJAC0001,044021,1983,09,6.0,Y
IDCJAC0001,044021,1983,10,5.0,Y
IDCJAC0001,044021,1983,11,119.6,Y
